,Country,Number of athletes,Gold medals,Silver medals,Bronze medals,Total medals,GDP,GDP per capita,Population,Life expectancy,Democracy,Gender equality,Female athletes %,country_code,female_population,male_population,total_population,rural_population,urban_population,transport_work_walking,transport_work_bicycle,sports_facilities_very_satisfied_2019,sports_facilities_very_satisfied_2023,sports_facilities_rather_satisfied_2019,sports_facilities_rather_satisfied_2023,sports_facilities_rather_unsatisfied_2019,sports_facilities_rather_unsatisfied_2023,sports_facilities_rather_notatall_satisfied_2019,sports_facilities_rather_notatall_satisfied_2023,gdp_per_capita_x,gdp_per_capita_y,nutritional_needs,heavy_women_famine,heavy_men_famine,heavy_famine,women_famine,men_famine,famine,under_feeding,energetical_feed,domestic_currency,percent_of_gdp,GF0801,percentage_of_total_employment
121,Algeria,45,2,0,1,3,225560256621.757,5023.25293164928,44903225.0,77.129,3.66,0.46,0.4,DZA,49.0996591502653,50.9003430105536,46278751,24.252,75.748,,,,,,,,,,,,17026.96167,,4.3,7.0,5.6,16.9,20.9,18.9,0.0,152.0,,,,
122,Saint Kitts and Nevis,3,0,0,0,0,981429629.62963,20593.609115757,47657.0,72.027,,,0.3333333333,KNA,51.8256108010952,48.1722992037118,47847,68.779,31.221,,,,,,,,,,,,33402.82668,,,,5.6,,,29.8,,,,,,
123,Brazil,277,3,7,10,20,1951923942083.32,9065.49733395404,215313498.0,73.425,6.68,0.391,0.5559566787,BRA,50.9252148081953,49.0747856512848,217637297,11.984,88.016,,,,,,,,,,,2174876.884,20584.41917,,8.0,5.2,6.6,22.0,14.8,18.4,3.9,136.0,,,,
124,Paraguay,28,0,0,0,0,41952910858.0846,6187.0660296399,6780744.0,70.475,6.0,0.429,0.2142857143,PRY,49.8572820690717,50.1427179309283,6947270,36.511,63.489,,,,,,,,,,,42941.42076,17465.86097,,6.2,7.1,6.6,26.1,26.3,26.2,4.5,129.0,,,,
125,Antigua and Barbuda,5,0,0,0,0,1867733333.33333,19919.7266867883,93763.0,79.236,,,0.4,ATG,52.2095426932163,47.7904573067837,94816,75.662,24.338,,,,,,,,,,,,31802.3772,,6.8,7.4,7.1,37.0,29.0,33.0,,,,,,
126,Ghana,8,0,0,0,0,74263364041.8742,2218.41475790993,33475870.0,63.945,6.3,0.512,0.25,GHA,50.1320364343383,49.8679635656618,34777522,40.146,59.854,,,,,,,,,,,72225.25492,7466.366889,,8.6,7.9,8.2,43.5,41.3,42.4,6.2,135.0,,,,
127,Albania,8,0,0,2,2,18916378860.5488,6810.11404104233,2777689.0,76.833,6.28,0.116,0.375,ALB,50.2430626817928,49.7569373182072,2740502,34.62,65.38,,,,,,,,,,,23538.99119,21395.32504,,9.3,7.2,8.2,35.7,28.6,32.2,4.5,134.0,,,,
128,Mauritius,13,0,0,0,0,12927979286.0453,10239.7970461095,1262523.0,73.5146341463415,8.14,0.369,0.4615384615,MUS,50.7626856982222,49.2372374955644,1262292,59.056,40.944,,,,,,,,,,,14598.0116,29498.47052,,9.9,10.6,10.2,30.9,31.4,31.2,5.9,130.0,,,,
129,Trinidad and Tobago,18,0,0,0,0,30053575132.142,19629.4653400829,1531044.0,74.708,7.16,0.264,0.4444444444,TTO,50.7599791964634,49.2400208035366,1538200,46.438,53.562,,,,,,,,,,,,31572.10102,,10.4,10.0,10.2,44.8,41.9,43.3,12.6,121.0,,,,
130,Lebanon,10,0,0,0,0,20992421948.8081,3823.93806860546,5489739.0,74.416,3.56,0.365,0.4,LBN,51.5557255313425,48.4442553080603,5219044,10.397,89.603,,,,,,,,,,,,,,12.2,11.2,11.7,40.8,39.3,40.1,9.6,124.0,,,,
131,Ecuador,40,1,2,2,5,116586079000.0,6476.64457530137,18001000.0,77.894,5.41,0.371,0.6,ECU,50.0957291651193,49.9042653934048,18377367,34.971,65.029,,,,,,,,,,,118844.826,15870.2617,,14.1,11.2,12.7,40.6,33.1,36.9,13.9,110.0,,,,
132,Cameroon,6,0,0,0,0,43644068310.851,1563.48894034459,27914536.0,60.958,2.56,0.555,0.6666666667,CMR,50.1123358970727,49.8876641029272,29394433,40.108,59.892,,,,,,,,,,,49282.59824,5380.15889,,24.7,26.1,25.4,59.5,59.7,59.6,5.7,126.0,,,,
133,Botswana,11,1,1,0,2,20321958850.0363,7726.11099664689,2630296.0,65.913,7.73,0.483,0.1818181818,BWA,50.5778591267988,49.4221408732012,2719694,26.51,73.49,,,,,,,,,,,19783.47446,19383.1726,,28.2,24.5,26.4,57.4,52.2,54.8,24.3,109.0,,,,
134,Comoros,4,0,0,0,0,1242519407.77603,1484.89246532042,836774.0,63.68,3.04,,0.25,COM,49.7416451034745,50.258239636701,867605,69.582,30.418,,,,,,,,,,,,3854.788785,,28.4,26.4,27.4,80.0,79.5,79.7,16.9,108.0,,,,
135,Lesotho,3,0,0,0,0,2289355249.40148,992.857328462257,2305825.0,53.036,6.06,0.552,0.6666666667,LSO,50.6970679725629,49.3029320274371,2356083,69.103,30.897,,,,,,,,,,,,2793.862312,,33.6,32.1,32.8,56.9,56.4,56.7,,,,,,
136,Azerbaijan,48,2,2,3,7,78807470588.2353,7770.594223351,10141756.0,73.488,2.8,0.329,0.4166666667,AZE,50.6324725907836,49.3675178516404,10162521,42.003,57.997,,,,,,,,,,,,23685.53864,,0.8,0.7,0.7,12.7,11.7,12.2,0.0,141.0,,,,
137,Thailand,51,1,3,2,6,495645210972.751,6913.05080521119,71697030.0,79.68,6.35,0.31,0.5294117647,THA,51.538596656622,48.461403343378,71885799,45.68,54.32,,,,,,,,,,,515242.977,23422.92419,,1.5,1.2,1.4,7.6,6.8,7.2,5.6,118.0,,,,
138,Liberia,8,0,0,0,0,4001047000.0,754.53284857226,5302681.0,61.1,5.57,0.656,0.375,LBR,50.1585981738318,49.8413837656803,5536949,45.923,54.077,,,,,,,,,,,,1819.04767,,39.9,34.7,37.3,83.5,78.5,81.0,38.4,95.0,,,,
